,Zinb_1,Zinb_2,Zinb_3,Zinb_4,Zinb_5,Zinb_6,Zinb_7,Zinb_8,Zinb_9,Zinb_10,Zinb_11,Zinb_12,Zinb_13,Zinb_14,Zinb_15,Zinb_16,Zinb_17,Zinb_18,Zinb_19,Zinb_20,Zinb_21,Zinb_22,Zinb_23,Zinb_24,Zinb_25,Zinb_26,Zinb_27,Zinb_28,Zinb_29,Zinb_30,Zinb_31,Zinb_32
mouse1_lib1.final_cell_0012,0.92719156,0.0,0.0,0.0,1.5545053,0.0,1.3273432,0.0,0.0,2.1869752,0.0,0.0,2.9180474,0.0,0.8814576,1.6073256,0.0,0.0,0.0,0.0,1.9986204,0.70880103,0.0,0.6454914,0.0,0.0,0.0,1.4499322,0.0,0.0,1.424415,0.0
mouse1_lib1.final_cell_0013,0.92537034,0.0,0.0,0.0,1.4654332,0.0,1.3048587,0.0,0.0,2.1177893,0.0,0.0,2.4105659,0.0,0.6684788,1.7943687,0.0,0.0,0.0,0.0,1.7478148,1.0074334,0.0,0.60834813,0.0,0.0,0.0,1.5641446,0.0,0.0,1.1347036,0.0
mouse1_lib1.final_cell_0014,0.480602,0.0,0.0,0.0,1.6976079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6978792,0.0,2.1508477,1.9717627,0.0,3.908594,1.0489264,3.7451189,0.0,0.0,0.0,3.8168902,0.0,0.0,0.0,1.261425,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0015,0.35125524,0.0,0.0,0.0,2.2544196,0.0,1.8901855,0.0,0.0,2.8725626,0.0,0.0,3.6636856,0.0,0.0,2.0570807,0.0,0.0,0.0,0.0,3.6375434,1.4034363,0.0,1.5312713,0.0,0.0,0.0,1.8531946,0.0,0.0,3.5504084,0.0
mouse1_lib1.final_cell_0016,0.0,0.0,0.0,7.06168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.932371,0.0,0.0,0.0,0.0,0.0,3.4449358,2.4613917,0.0,2.7110553,8.884587,3.35747,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0017,0.36397323,0.0,0.0,0.0,2.3253767,0.0,1.8355331,0.0,0.0,2.6275284,0.0,0.0,3.380455,0.0,0.051140144,2.2109299,0.0,0.0,0.0,0.0,3.6568935,1.6122944,0.0,1.5374858,0.0,0.0,0.0,2.1659324,0.0,0.0,3.615478,0.0
mouse1_lib1.final_cell_0018,4.475155,0.0,0.0,0.0,4.9829073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.163718,0.0,0.0,4.5825663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154182,0.0,0.0,4.618853,0.0,0.0,1.1672462,3.3166988
mouse1_lib1.final_cell_0019,0.0,0.0,0.0,7.155278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.210231,0.0,0.0,0.0,0.0,0.0,3.4772465,2.1302712,0.0,3.2520406,9.588863,3.5956645,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0020,0.0,0.0,0.0,7.506527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505231,0.0,0.0,0.0,0.0,0.0,2.9913182,2.1132288,0.8187321,3.2177088,9.071551,2.861035,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0021,1.0206479,0.0,0.0,0.0,2.3813748,0.0,1.8631932,0.0,0.0,2.538536,0.0,0.0,3.5246592,0.0,0.40993422,1.9501181,0.0,0.0,0.0,0.0,3.4435337,1.1685945,0.0,1.1063298,0.0,0.0,0.0,1.2872036,0.0,0.0,2.9766636,0.0
mouse1_lib1.final_cell_0022,1.0894169,0.0,0.0,0.0,2.213379,0.0,1.9679059,0.0,0.0,2.6254876,0.0,0.0,3.3890457,0.0,0.81602657,1.7442564,0.0,0.0,0.0,0.0,3.4659476,1.0094082,0.0,0.7623073,0.0,0.44801232,0.0,1.1287749,0.0,0.0,1.9267704,0.0
mouse1_lib1.final_cell_0023,0.26235983,0.0,0.0,0.0,2.1137202,0.0,1.7797865,0.0,0.0,2.4159634,0.0,0.0,3.008099,0.0,0.10399974,1.9830806,0.0,0.0,0.050096214,0.0,3.3785393,1.3141763,0.0,1.2409896,0.0,0.0,0.0,1.4977916,0.0,0.0,3.0404005,0.0
mouse1_lib1.final_cell_0024,0.09340137,0.0,0.0,0.0,1.6497823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2799093,0.0,1.8451335,1.697637,0.0,3.6238542,0.9256338,3.4433599,0.0,0.0,0.0,3.564397,0.0,0.0,0.0,1.0630256,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0025,4.2841372,0.0,0.0,0.0,4.797667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.140289,0.0,0.0,4.3377233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8731456,0.0,0.0,4.6673555,0.0,0.0,1.2897747,2.7408617
mouse1_lib1.final_cell_0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.310334,0.0,0.0,0.0,0.0,0.0,0.0,25.56527,0.0,0.0,0.0,0.0,0.0,0.0,12.804525
mouse1_lib1.final_cell_0027,0.0,0.0,0.0,7.6186604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7007053,0.0,0.0,0.0,0.0,0.0,3.035237,2.4851718,0.9623913,2.9883943,9.142725,2.497923,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0028,0.0,0.0,0.0,6.9836345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4377036,0.0,0.0,0.0,0.0,0.0,3.2456663,2.7554195,0.6388443,2.4082534,8.160908,2.6210983,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0029,0.5361441,0.0,0.0,0.0,2.4305444,0.0,1.9105524,0.0,0.0,2.749547,0.0,0.0,3.6624491,0.0,0.031114578,2.053016,0.0,0.0,0.0,0.0,3.7580967,1.3285239,0.0,1.460093,0.0,0.0,0.0,1.7141486,0.0,0.0,3.4224796,0.0
mouse1_lib1.final_cell_0030,0.0,0.0,0.0,7.557877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2113478,0.0,0.0,0.0,0.0,0.0,3.453557,2.4601603,0.6264848,3.2335083,8.962947,3.2817857,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0031,0.0,0.0,0.0,6.4224005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5215888,0.0,0.0,0.0,0.0,0.0,3.3556752,2.0902107,0.0,2.6811702,8.609919,3.844427,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0032,0.0,0.0,0.0,7.6705604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5668135,0.0,0.0,0.0,0.0,0.0,2.8394659,2.9970286,0.58494407,2.7880476,9.201699,2.8470898,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0033,4.3112803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7516658,5.862424,1.5543131,0.8927764,0.0,0.0,2.3138905,10.311523,0.0,3.4654481,0.0,0.67001384,0.0,0.0,0.0,6.613333,0.0,0.0,5.40391,0.0
mouse1_lib1.final_cell_0034,0.82987934,0.0,0.0,0.0,1.8579935,0.0,1.8099192,0.0,0.0,2.7415974,0.0,0.0,2.8668048,0.0,0.3859986,1.8284656,0.0,0.0,0.0,0.0,2.8129728,0.8114693,0.0,1.1814524,0.0,0.0,0.0,1.542828,0.0,0.0,2.2034647,0.0
mouse1_lib1.final_cell_0035,0.56367296,0.0,0.0,0.0,1.7909929,0.0,1.4672558,0.0,0.0,2.529108,0.0,0.0,2.3628078,0.0,0.14454904,1.5039577,0.0,0.0,0.0,0.0,2.6443908,0.36275867,0.0,0.75778764,0.0,0.27328533,0.0,1.4034759,0.6759962,0.0,1.7079686,0.0
mouse1_lib1.final_cell_0036,0.0,0.0,0.0,7.6404037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2866483,0.0,0.0,0.0,0.0,0.0,3.2817624,2.468884,0.5658395,2.4204059,8.538214,2.5123315,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0037,0.0,0.0,0.0,7.2994137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1876342,0.0,0.0,0.0,0.0,0.0,3.4127033,2.5795722,0.26610187,2.8534405,8.88158,3.4765427,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0038,0.0,0.0,0.0,7.159161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0808845,0.0,0.0,0.0,0.0,0.0,3.6626253,2.4455924,0.0,2.861254,9.084932,3.288237,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0039,0.8615246,0.0,0.0,0.0,1.5234654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4790394,0.0,1.8857999,1.6684799,0.0,3.774082,0.9258314,3.2515733,0.0,0.0,0.0,3.2483172,0.0,0.0,0.0,1.0028732,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0040,0.038197972,0.0,0.0,0.0,2.261045,0.0,1.8025041,0.0,0.0,2.5510716,0.0,0.0,2.9831398,0.0,0.04932705,2.0311332,0.0,0.0,0.08992343,0.0,3.290051,1.0466925,0.0,1.3090733,0.0,0.0,0.0,1.5035318,0.0,0.0,3.0290809,0.0
mouse1_lib1.final_cell_0041,0.45928726,0.0,0.0,0.0,2.0871572,0.0,1.785614,0.0,0.0,2.8006575,0.0,0.0,3.426263,0.0,0.24283385,1.9356908,0.0,0.0,0.0,0.0,3.4175174,1.2349837,0.0,0.9699925,0.0,0.0,0.0,1.2683413,0.0,0.0,3.0175998,0.0
mouse1_lib1.final_cell_0042,0.0,0.0,0.0,7.978904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6257186,0.0,0.0,0.0,0.0,0.0,3.3865786,3.0902755,1.0002432,2.8938758,8.74241,2.6964412,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0043,0.6134697,0.0,0.0,0.0,1.513986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4958037,0.0,1.8378853,1.7224797,0.0,3.6850631,0.9955389,3.3186784,0.0,0.0,0.0,3.4519727,0.0,0.0,0.0,1.0289503,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.660106,0.0,0.0,0.0,0.0,0.0,0.0,26.02092,0.0,0.0,0.0,0.0,0.0,0.0,13.588431
mouse1_lib1.final_cell_0045,0.76831645,0.0,0.0,0.0,2.2919388,0.0,1.7999549,0.0,0.0,2.5398455,0.0,0.0,3.7622051,0.0,0.376988,2.1194856,0.0,0.0,0.0,0.0,3.4780805,1.7013606,0.0,1.3137763,0.0,0.0,0.0,1.9700217,0.0,0.0,3.6561615,0.0
mouse1_lib1.final_cell_0046,0.46583077,0.0,0.0,0.0,2.2856553,0.0,1.917766,0.0,0.0,3.0810118,0.0,0.0,3.124178,0.0,0.0,1.826712,0.0,0.0,0.0,0.0,2.8979063,0.8964419,0.0,1.3956116,0.0,0.0,0.0,1.9439558,0.0,0.0,2.3320026,0.0
mouse1_lib1.final_cell_0047,1.0554224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3201847,0.0,0.0,3.6557302,2.2815485,1.4374031,2.088228,0.0,0.0,0.84663963,5.941743,0.0,1.1831235,0.0,0.86212564,0.0,0.0,0.0,4.9688516,0.0,0.0,2.6546402,0.0
mouse1_lib1.final_cell_0048,0.0,0.0,0.0,6.806123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1899366,0.0,0.0,0.17170785,0.0,0.0,3.6247942,2.1486964,0.0,2.7035816,9.047212,4.076432,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0049,0.8544781,0.0,0.0,0.0,1.9870896,0.0,1.7777033,0.0,0.0,3.0340014,0.0,0.0,3.1338463,0.0,0.8302248,1.8944063,0.0,0.0,0.0,0.0,3.230399,0.46945733,0.0,0.8597482,0.0,0.0,0.0,1.7451576,0.0,0.0,1.6694691,0.0
mouse1_lib1.final_cell_0050,0.0,0.0,0.0,7.0727096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3672795,0.0,0.0,0.0,0.0,0.0,3.166841,2.3571024,0.4865366,2.8159728,8.430627,2.9768822,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0051,3.8218231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9344087,5.8097963,1.2145191,0.9410642,0.0,0.0,1.7257141,10.4853945,0.0,3.2205799,0.0,0.8044491,0.0,0.0,0.0,6.6161866,0.0,0.0,4.6529655,0.0
mouse1_lib1.final_cell_0052,0.2326473,0.0,0.0,0.03588402,1.6068702,0.0,1.2385504,0.0,0.0,2.1628747,0.0,0.0,2.282943,0.0,0.1939447,1.4673481,0.0,0.0,0.0,0.0,2.3258858,0.3048026,0.0,1.0242385,0.0,0.0,0.0,1.308155,0.0,0.0,1.585909,0.0
mouse1_lib1.final_cell_0053,0.0,0.0,0.0,7.210832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9870033,0.0,0.0,0.0,0.0,0.0,3.7345269,1.7668056,0.0,3.7590003,10.26488,4.125673,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0054,0.0,0.0,0.0,7.915844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6120543,0.0,0.0,0.0,0.0,0.0,3.786671,2.6539478,0.0,2.7237315,9.447709,3.291792,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0055,0.0,0.0,0.0,6.1051993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2034473,0.0,0.0,0.0,0.0,0.0,3.3066266,2.4210682,0.0,2.67094,8.587031,3.9099784,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0056,0.18434787,0.0,0.0,0.0,2.5806906,0.0,1.8629112,0.0,0.0,4.074158,0.0,0.0,3.823559,0.0,0.17882991,2.1145241,0.0,0.0,0.0,0.0,3.1053433,0.7857724,0.0,1.7962071,0.0,0.0,0.0,2.4657943,0.0,0.0,1.9102938,0.0
mouse1_lib1.final_cell_0057,0.0,0.0,0.0,7.351194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4741628,0.0,0.0,0.0,0.0,0.0,2.9700332,2.5646856,0.8787631,2.5593846,8.162942,2.7935107,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0058,2.444692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.427472,0.0,0.0,1.8191227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.312866,0.0,0.0,0.0,0.0,0.0,0.0,6.141329
mouse1_lib1.final_cell_0059,0.0,0.0,0.0,9.271716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1653743,0.0,0.0,0.0,0.0,0.0,3.4350922,3.2739296,1.4250262,3.3641062,10.180321,3.026099,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0060,0.0,0.0,0.0,0.0,2.0273902,0.0,1.8186197,0.0,0.0,3.5275042,0.0,0.0,3.4682403,0.0,0.16850969,2.255559,0.0,0.0,0.0,0.0,3.036391,1.1586224,0.0,1.1774566,0.0,0.0,0.0,2.028723,0.0,0.0,2.750979,0.0
mouse1_lib1.final_cell_0061,0.422095,0.0,0.0,0.0,2.1525953,0.0,1.6212057,0.0,0.0,2.530991,0.0,0.0,3.0636115,0.0,0.1730721,1.8340954,0.0,0.0,0.0,0.0,2.951165,0.8964642,0.0,1.2181523,0.0,0.0,0.0,1.7032653,0.0,0.0,2.5232396,0.0
mouse1_lib1.final_cell_0062,0.0,0.0,0.0,7.376204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4783587,0.0,0.0,0.0,0.0,0.0,3.6240258,2.7963383,0.35959217,2.5724106,8.759747,3.0112233,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0063,0.0,0.0,0.0,7.8924165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7422807,0.0,0.0,0.0,0.0,0.0,3.4022052,3.0543573,1.0284479,2.7556496,8.868169,2.7338643,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.591123,0.0,0.0,0.0,0.0,0.0,0.0,25.742186,0.0,0.0,0.0,0.0,0.0,0.0,13.328676
mouse1_lib1.final_cell_0065,1.0127765,0.0,0.0,0.0,2.3537247,0.0,2.1209915,0.0,0.0,3.5382817,0.0,0.0,3.1814444,0.0,0.6148238,2.0424054,0.0,0.0,0.0,0.0,3.64486,0.5263836,0.0,1.1569979,0.0,0.0,0.0,2.4387035,0.0,0.0,2.2782245,0.0
mouse1_lib1.final_cell_0066,0.2635526,0.0,0.0,0.0,1.9182446,0.0,1.6238507,0.0,0.0,2.6857157,0.0,0.0,2.8282404,0.0,0.27758008,1.8602567,0.0,0.0,0.0,0.0,2.5654914,0.9733837,0.0,1.1652006,0.0,0.0,0.0,1.6199464,0.0,0.0,1.9512062,0.0
mouse1_lib1.final_cell_0067,0.0,0.0,0.0,7.4719806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4556258,0.0,0.0,0.0,0.0,0.0,3.224531,2.9737332,0.7132464,2.4904718,8.430388,3.056616,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0068,0.44619682,0.0,0.0,0.0,1.7927625,0.0,1.6438568,0.0,0.0,2.6658874,0.0,0.0,2.1621118,0.0,0.60947543,1.7638417,0.019032955,0.0,0.0,0.0,2.4083197,0.107330196,0.0,1.2960188,0.0,0.754958,0.0,1.5779363,0.18596739,0.0,1.0432839,0.0
mouse1_lib1.final_cell_0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.185079,0.0,0.0,0.0,0.0,0.0,0.0,25.389172,0.0,0.0,0.0,0.0,0.0,0.0,12.721396
mouse1_lib1.final_cell_0070,0.0,0.0,0.0,7.75664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.631228,0.0,0.0,0.0,0.0,0.0,3.3006344,3.396834,0.9607632,2.5183473,8.59181,2.8647325,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0071,0.0,0.0,0.0,0.0,2.650968,0.0,2.2001238,0.0,0.0,3.431493,0.0,0.0,3.9059224,0.0,0.0,2.2648392,0.0,0.0,0.0,0.0,4.097127,1.3938001,0.0,1.6503977,0.0,0.0,0.0,2.2978873,0.0,0.0,3.6089427,0.0
mouse1_lib1.final_cell_0072,0.09164687,0.0,0.0,0.0,2.4466703,0.0,1.7660224,0.0,0.0,2.893342,0.0,0.0,3.2238996,0.0,0.0,1.8769803,0.0,0.0,0.0,0.0,3.260468,1.0409622,0.0,1.2960882,0.0,0.0,0.0,1.6497147,0.0,0.0,2.7471313,0.0
mouse1_lib1.final_cell_0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.619437,0.0,0.0,0.0,0.0,0.0,0.0,25.972816,0.0,0.0,0.0,0.0,0.0,0.0,13.1005535
mouse1_lib1.final_cell_0074,0.0,0.0,0.0,0.0,2.1449153,0.0,1.7357837,0.0,0.0,3.0103433,0.0,0.0,2.8222096,0.0,0.2971185,1.599036,0.0,0.0,0.0,0.0,2.8092914,0.5135847,0.0,1.4072213,0.0,0.0,0.0,2.054819,0.0,0.0,1.998267,0.0
mouse1_lib1.final_cell_0075,0.9032191,0.0,0.0,0.0,2.1271636,0.0,1.5616785,0.0,0.0,2.6538823,0.0,0.0,3.2812393,0.0,0.57779723,1.9022788,0.0,0.0,0.0,0.0,2.9263566,0.88510114,0.0,1.1049055,0.0,0.0,0.0,1.8639275,0.0,0.0,2.3546958,0.0
mouse1_lib1.final_cell_0076,0.0,0.0,0.0,7.1141834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3951879,0.0,0.0,0.0,0.0,0.0,3.5703158,2.6647222,0.17796697,2.1657968,8.866638,3.4541025,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0077,0.6469411,0.0,0.0,0.0,1.7261966,0.0,1.4084299,0.0,0.0,2.2871308,0.0,0.0,2.660717,0.0,0.5799304,1.4534745,0.0,0.0,0.0,0.0,2.6249886,0.29875314,0.0,1.270738,0.0,0.0,0.0,1.7415136,0.0,0.0,1.798499,0.0
mouse1_lib1.final_cell_0078,0.0,0.0,0.0,7.3419027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1884644,0.0,0.0,0.0,0.0,0.0,3.357997,2.6406333,0.27549857,2.6867714,8.658007,3.141116,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0079,4.562465,0.0,0.0,0.0,5.049224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16166,0.0,0.0,4.417932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8482113,0.0,0.0,4.70553,0.0,0.0,1.6398709,2.577945
mouse1_lib1.final_cell_0080,0.43605718,0.0,0.0,0.0,2.321912,0.0,1.9658753,0.0,0.0,3.1828988,0.0,0.0,3.474685,0.0,0.18354788,1.9484904,0.0,0.0,0.0,0.0,3.1773784,0.98253435,0.0,1.3642586,0.0,0.0,0.0,2.2415779,0.0,0.0,2.3647192,0.0
mouse1_lib1.final_cell_0081,0.0,0.0,0.0,6.6520143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1147754,0.0,0.0,0.18503878,0.0,0.0,3.6123457,2.3757055,0.0,2.2960002,8.380225,3.9708138,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0082,0.0,0.0,0.0,8.053009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5174563,0.0,0.0,0.0,0.0,0.0,3.9879467,3.1738553,1.0414008,2.8736448,9.510614,3.0420768,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0083,0.0,0.0,0.0,0.0,1.737839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4883742,0.0,1.7959569,1.7629951,0.0,3.7126968,0.87397355,3.7732432,0.0,0.0,0.0,3.9156406,0.0,0.0,0.0,1.4490172,0.0,0.0,0.0,0.0
mouse1_lib1.final_cell_0084,6.028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.442962,10.4602,2.7888424,1.355199,0.0,0.0,4.279586,16.003311,0.0,6.2681503,0.0,0.040316217,0.0,0.0,0.0,8.679503,0.0,0.0,7.641985,0.0
